0	1	1
2	3	1
4	5	1
6	3	1
7	8	1
9	10	1
11	12	1
13	14	1
15	14	1
16	17	1
18	12	1
19	3	1
20	21	1
22	12	1
23	3	1
24	25	1
26	27	1
28	12	1
29	30	1
31	32	1
33	17	1
34	12	1
35	21	1
36	37	1
38	8	1
39	40	1
41	42	1
43	12	1
44	21	1
45	46	1
47	48	1
49	50	1
51	52	1
53	12	1
54	12	1
55	40	1
56	12	1
57	58	1
59	60	1
61	3	1
62	3	1
63	12	1
64	3	1
51	3	1
65	66	1
67	68	1
69	70	1
71	5	1
72	3	1
73	40	1
74	75	1
76	77	1
71	25	1
78	3	1
79	80	1
81	3	1
82	83	1
84	8	1
85	70	1
86	87	1
88	89	1
90	91	1
92	12	1
93	77	1
94	95	1
96	12	1
97	70	1
98	3	1
99	75	1
100	17	1
55	101	1
102	89	1
103	3	1
104	3	1
105	17	1
5	3	1
106	12	1
107	12	1
108	12	1
109	8	1
110	14	1
111	5	1
112	17	1
113	114	1
115	25	1
116	77	1
117	12	1
118	119	1
120	17	1
121	3	1
122	123	1
124	21	1
6	12	1
125	3	1
126	127	1
128	119	1
129	46	1
130	46	1
131	12	1
132	17	1
133	12	1
134	119	1
135	21	1
136	14	1
137	12	1
138	119	1
111	46	1
139	3	1
140	12	1
141	8	1
142	143	1
144	12	1
145	119	1
146	14	1
147	17	1
148	149	1
150	3	1
151	77	1
129	5	1
152	17	1
73	21	1
153	89	1
154	12	1
155	3	1
156	12	1
157	158	1
159	40	1
160	161	1
162	70	1
163	40	1
164	3	1
165	30	1
166	167	1
168	66	1
169	77	1
170	70	1
171	3	1
172	3	1
173	174	1
175	176	1
177	46	1
178	40	1
179	161	1
180	40	1
181	12	1
182	12	1
138	183	1
184	3	1
185	12	1
186	187	1
188	189	1
190	5	1
191	12	1
192	12	1
193	192	1
194	183	1
195	196	1
197	12	1
198	3	1
199	200	1
201	25	1
202	12	1
203	70	1
204	5	1
205	12	1
206	30	1
207	12	1
108	3	1
208	12	1
209	12	1
64	210	1
211	212	1
213	46	1
214	12	1
215	3	1
216	217	1
218	219	1
220	21	1
221	3	1
222	223	1
224	78	1
225	77	1
226	3	1
227	102	1
32	8	1
228	17	1
229	91	1
196	12	1
126	70	1
230	61	1
231	17	1
232	12	1
233	70	1
234	3	1
136	235	1
236	66	1
224	50	1
26	3	1
237	17	1
238	3	1
239	240	1
241	40	1
242	25	1
243	3	1
240	12	1
244	25	1
245	50	1
242	5	1
246	3	1
247	248	1
249	8	1
250	5	1
251	3	1
252	12	1
253	3	1
254	10	1
80	255	1
256	52	1
257	258	1
13	8	1
259	12	1
260	12	1
261	8	1
134	3	1
262	12	1
263	61	1
264	17	1
124	265	1
266	12	1
267	17	1
268	269	1
270	271	1
272	21	1
273	12	1
274	12	1
275	119	1
276	277	1
112	3	1
278	3	1
279	12	1
280	174	1
281	3	1
282	12	1
283	3	1
284	70	1
285	17	1
286	12	1
238	17	1
171	102	1
287	3	1
288	195	1
289	3	1
290	3	1
291	3	1
292	77	1
90	229	1
293	101	1
294	17	1
295	296	1
297	70	1
298	40	1
194	119	1
299	143	1
300	25	1
301	102	1
302	3	1
145	12	1
303	3	1
304	17	1
305	60	1
306	12	1
307	8	1
308	21	1
309	77	1
310	311	1
312	3	1
140	21	1
313	89	1
314	315	1
316	12	1
287	12	1
317	89	1
313	3	1
318	30	1
319	5	1
320	21	1
180	3	1
321	119	1
322	323	1
324	5	1
325	40	1
326	17	1
261	28	1
327	167	1
328	12	1
329	3	1
330	187	1
129	77	1
331	3	1
332	60	1
102	3	1
333	8	1
334	40	1
335	77	1
165	265	1
336	8	1
337	17	1
338	46	1
339	3	1
19	12	1
158	70	1
221	77	1
340	46	1
16	269	1
341	12	1
71	12	1
342	3	1
343	12	1
344	68	1
345	196	1
309	25	1
325	101	1
88	102	1
170	12	1
346	12	1
347	12	1
348	3	1
349	17	1
63	77	1
283	12	1
350	174	1
351	17	1
339	12	1
352	3	1
353	100	1
354	17	1
355	61	1
356	17	1
357	358	1
359	12	1
360	3	1
361	119	1
362	12	1
363	119	1
364	330	1
365	12	1
366	77	1
153	367	1
368	369	1
370	102	1
134	14	1
371	25	1
372	373	1
374	70	1
375	12	1
376	3	1
377	3	1
378	3	1
379	91	1
380	3	1
381	77	1
382	17	1
171	89	1
87	161	1
383	3	1
384	14	1
385	386	1
387	388	1
389	3	1
390	3	1
391	12	1
392	119	1
393	5	1
394	5	1
165	3	1
395	12	1
396	149	1
397	12	1
398	3	1
399	3	1
400	17	1
225	5	1
401	100	1
94	174	1
402	12	1
403	404	1
75	161	1
405	89	1
294	12	1
406	12	1
172	119	1
407	12	1
408	21	1
285	119	1
409	305	1
342	410	1
195	3	1
66	100	1
411	114	1
336	412	1
413	12	1
414	12	1
415	416	1
417	40	1
418	5	1
419	17	1
420	12	1
421	12	1
422	255	1
423	3	1
116	424	1
425	174	1
343	248	1
426	77	1
427	12	1
428	21	1
429	100	1
430	12	1
144	255	1
431	14	1
8	12	1
432	119	1
433	40	1
434	435	1
436	17	1
437	217	1
438	12	1
439	77	1
148	440	1
83	12	1
290	17	1
24	441	1
442	40	1
351	12	1
443	70	1
444	3	1
426	46	1
445	70	1
446	12	1
447	3	1
448	12	1
423	12	1
388	449	1
450	451	1
452	25	1
378	12	1
453	12	1
454	77	1
455	3	1
456	10	1
457	285	1
175	77	1
458	119	1
459	46	1
428	460	1
461	12	1
229	3	1
462	114	1
463	277	1
464	12	1
465	123	1
466	21	1
298	21	1
467	3	1
468	119	1
469	77	1
470	3	1
5	77	1
471	40	1
58	123	1
472	131	1
32	119	1
331	5	1
310	12	1
473	449	1
474	30	1
108	70	1
475	3	1
476	17	1
477	3	1
478	14	1
479	3	1
480	3	1
481	195	1
109	3	1
391	482	1
483	149	1
484	485	1
486	1	1
371	46	1
75	3	1
487	12	1
488	12	1
489	12	1
490	77	1
37	149	1
66	17	1
202	440	1
491	25	1
492	119	1
493	8	1
494	375	1
412	8	1
495	269	1
415	46	1
496	42	1
497	5	1
498	3	1
259	77	1
499	17	1
500	3	1
501	265	1
502	3	1
118	12	1
503	504	1
302	119	1
505	195	1
506	30	1
507	12	1
508	119	1
509	25	1
510	511	1
512	5	1
513	3	1
